intercambiador_id,cantidad_infraestructura,cantidad_modos,modos,nombre_referencias,radio_cluster_m,ferrocarril,subte,autobus,fluvial,tranvia,score_intercambiador
173,5,2,AUTOBUS|FERROCARRIL,Adolfo Sourdeaux,106.59265316845858,1,0,1,0,0,45.0
174,6,2,AUTOBUS|FERROCARRIL,Villa de Mayo,115.31912216599203,1,0,1,0,0,47.0
175,7,2,AUTOBUS|FERROCARRIL,Pablo Nogués,109.94088834122039,1,0,1,0,0,49.0
176,5,2,AUTOBUS|FERROCARRIL,Grand Bourg,76.59614723337684,1,0,1,0,0,45.0
177,8,2,AUTOBUS|FERROCARRIL,José León Suárez | Independencia y Washington | Washington e Independencia | Estación José León Suárez | Rodríguez y Washington,173.85598809826996,1,0,1,0,0,51.0
178,6,2,AUTOBUS|FERROCARRIL,Bancalari | Bancalari R | Estación Bancalari,94.30467294177694,1,0,1,0,0,47.0
179,3,2,AUTOBUS|FERROCARRIL,General Pacheco,5.652726356208428,1,0,1,0,0,41.0
180,3,2,AUTOBUS|FERROCARRIL,Ingeniero Maschwitz,6.9343522601755,1,0,1,0,0,41.0
181,3,2,AUTOBUS|FERROCARRIL,Río Luján,5.222234025632994,1,0,1,0,0,41.0
182,56,3,AUTOBUS|FERROCARRIL|SUBTE,Carabobo | San Pedrito | San José de Flores | Avenida Rivadavia | Rivadavia y Curapaligüe | Estación Carabobo | Rivadavia y Gavilán | Rivadavia y Terrero | Plaza de Flores | Rivadavia y Pumacahua,1101.4701693332343,1,1,1,0,0,82.5
183,9,3,AUTOBUS|FERROCARRIL|SUBTE,Puán | Rivadavia y Biedma | Rivadavia y Oroño | Estación Puan | Rivadavia y Miró | Línea A,110.06095566432725,1,1,1,0,0,70.5
184,7,2,AUTOBUS|FERROCARRIL,Paso del Rey | Estación Paso del Rey | Alcorta y Las Barrancas,115.28122031063697,1,0,1,0,0,49.0
185,3,2,AUTOBUS|FERROCARRIL,López Camelo,14.829384515091522,1,0,1,0,0,41.0
186,14,2,AUTOBUS|FERROCARRIL,Garín | Estación Garín,52.139649136440504,1,0,1,0,0,63.0
187,3,2,AUTOBUS|FERROCARRIL,Matheu,6.519268704996075,1,0,1,0,0,41.0
188,5,2,AUTOBUS|FERROCARRIL,Maquinista Savio,62.81235698011495,1,0,1,0,0,45.0
189,3,2,AUTOBUS|TRANVIA,Fernández de la Cruz | Mariano Acosta,52.409532801243024,0,0,1,0,1,41.0
