osm_type,osm_id,osm_key,nombre,nombre_normalizado,operador,tipo_infraestructura,modo_principal,categoria_intermodal,capacidad,railway,amenity,public_transport,network,brand,operator,ref,wikidata,website,osm_ids,cantidad_elementos_osm,es_ferrocarril,es_subte,es_autobus,es_fluvial,es_tranvia,es_multimodal,score_infraestructura
node,5000871840,node/5000871840,8 y 44,8 y 44,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,B1328,,,"12793679414,5000871840,5000871841,5000871842",4,0,0,0,0,0,0,0.0
node,5000874741,node/5000874741,La Plata (Terminal de Omnibus),la plata (terminal de omnibus),Municipalidad de La Plata,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,Municipalidad de La Plata,,,,5000874741,1,0,0,0,0,0,0,0.0
node,5215108327,node/5215108327,13 y 32,13 y 32,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5000889601,5000889602,5215108327,5240360417",4,0,0,0,0,0,0,0.0
node,5000889604,node/5000889604,Plaza Paso,plaza paso,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5000889603,5000889604",2,0,0,0,0,0,0,0.0
node,5004211058,node/5004211058,Castro Barros y Las Casas,castro barros y las casas,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001045505,5004211058",2,0,0,0,0,0,0,0.0
node,5004211059,node/5004211059,Castro Barros e Inclán,castro barros e inclan,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001045506,5004211059",2,0,0,0,0,0,0,0.0
node,5004211061,node/5004211061,Boedo y Garay,boedo y garay,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001045507,5004211061,9896504284,9896504285,9896504286,9896504287,9896504288,9896504289",8,0,0,0,0,0,0,0.0
node,13542444380,node/13542444380,Avenida San Juan,avenida san juan,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"13542444379,13542444380,5001045508,5004211062,9896504296,9896504297",6,0,0,0,0,0,0,0.0
node,5001045509,node/5001045509,Venezuela y Boedo,venezuela y boedo,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001045509,5004211064",2,0,0,0,0,0,0,0.0
node,5001045510,node/5001045510,Venezuela y Castro Barros,venezuela y castro barros,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001045510,5004211065",2,0,0,0,0,0,0,0.0
node,5004211054,node/5004211054,Sáenz y Famatina,saenz y famatina,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001045511,5004211054,9217240917,9217240918,9217262658,9217262659",6,0,0,0,0,0,0,0.0
node,5004211056,node/5004211056,Avenida Sáenz y Del Tigre,avenida saenz y del tigre,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001045512,5004211056",2,0,0,0,0,0,0,0.0
node,9217262661,node/9217262661,Sáenz y Andrés Ferreyra,saenz y andres ferreyra,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001045513,9217262660,9217262661,9758677678",4,0,0,0,0,0,0,0.0
node,5001045514,node/5001045514,Avenida Chiclana,avenida chiclana,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001045514,5004211057",2,0,0,0,0,0,0,0.0
node,5001065568,node/5001065568,Moreno y Brin,moreno y brin,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"13274985236,5001065568",2,0,0,0,0,0,0,0.0
node,5001065570,node/5001065570,Viamonte y Udaondo,viamonte y udaondo,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001065570,5004042629",2,0,0,0,0,0,0,0.0
node,5001065571,node/5001065571,Perón y Valparaiso,peron y valparaiso,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"13312619474,13312619475,5001065571,5004041718",4,0,0,0,0,0,0,0.0
node,5001065572,node/5001065572,Moreno e Yrigoyen,moreno e yrigoyen,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001065572,5004042632",2,0,0,0,0,0,0,0.0
node,5004042623,node/5004042623,Farrel y Liniers,farrel y liniers,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001065573,5004042623",2,0,0,0,0,0,0,0.0
node,5001065574,node/5001065574,Moreno y 25 de Mayo,moreno y 25 de mayo,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001065574,5004042631",2,0,0,0,0,0,0,0.0
node,5001065575,node/5001065575,Perón y Rucci,peron y rucci,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001065575,5004041715",2,0,0,0,0,0,0,0.0
node,9758677676,node/9758677676,Parque San Martín,parque san martin,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001065576,9758677676",2,0,0,0,0,0,0,0.0
node,5004042622,node/5004042622,Farrel y Formosa,farrel y formosa,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5001065578,5004042622",2,0,0,0,0,0,0,0.0
node,5001065579,node/5001065579,Moreno y 20 de Septiembre,moreno y 20 de septiembre,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001065579,5004042630",2,0,0,0,0,0,0,0.0
node,5001065580,node/5001065580,"Plaza Constitución, V. Alsina","plaza constitucion, v. alsina",,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5001065580,5004041716",2,0,0,0,0,0,0,0.0
node,5002194638,node/5002194638,,,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,5002194638,1,0,0,0,0,0,0,0.0
node,5003626488,node/5003626488,Moreno,moreno,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626487,5003626488",2,0,0,0,0,0,0,0.0
node,5003626490,node/5003626490,Perón y Del Valle,peron y del valle,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626489,5003626490",2,0,0,0,0,0,0,0.0
node,5003626492,node/5003626492,Perón y Alem,peron y alem,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626491,5003626492",2,0,0,0,0,0,0,0.0
node,5003626494,node/5003626494,Perón y Emilio Mitre,peron y emilio mitre,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626493,5003626494",2,0,0,0,0,0,0,0.0
node,5003626496,node/5003626496,Perón y Larrea,peron y larrea,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626495,5003626496,9458280278,9458280288",4,0,0,0,0,0,0,0.0
node,5003626498,node/5003626498,Perón y Urquiza,peron y urquiza,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626497,5003626498,9458280277,9458280287",4,0,0,0,0,0,0,0.0
node,5003626500,node/5003626500,Perón y Pueyrredón,peron y pueyrredon,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626499,5003626500,9458280276,9458280286",4,0,0,0,0,0,0,0.0
node,5003626502,node/5003626502,Perón y Paso,peron y paso,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626501,5003626502",2,0,0,0,0,0,0,0.0
node,5003626504,node/5003626504,Perón y Azcuénaga,peron y azcuenaga,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626503,5003626504,9458280274,9458280284",4,0,0,0,0,0,0,0.0
node,5003626506,node/5003626506,Perón y Matheu,peron y matheu,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003626505,5003626506,9458280273,9458280283",4,0,0,0,0,0,0,0.0
node,5003926630,node/5003926630,Cruz y Cafayate,cruz y cafayate,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5003926630,5004142532",2,0,0,0,0,0,0,0.0
node,5004025504,node/5004025504,Cañada de Gómez y Fructuoso Rivera,canada de gomez y fructuoso rivera,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5004025503,5004025504",2,0,0,0,0,0,0,0.0
node,5004042634,node/5004042634,Lanús,lanus,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,5004042634,1,0,0,0,0,0,0,0.0
node,5004193311,node/5004193311,Dellepiane y Castañares,dellepiane y castanares,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5004193310,5004193311,5046932230,5046932238",4,0,0,0,0,0,0,0.0
node,5004193312,node/5004193312,Castañares y Araujo,castanares y araujo,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5004193312,5004193313,5046932225,5046932226",4,0,0,0,0,0,0,0.0
node,6193265182,node/6193265182,Barrio Samoré,barrio samore,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5004193314,5047068765,6193265182,6193265183",4,0,0,0,0,0,0,0.0
node,6193265180,node/6193265180,Avenida Escalada,avenida escalada,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5004206822,5047068764,6193265180,6193265181",4,0,0,0,0,0,0,0.0
node,5004206830,node/5004206830,Avenida Argentina y Corvalán,avenida argentina y corvalan,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5004206826,5004206830",2,0,0,0,0,0,0,0.0
node,5015840338,node/5015840338,General Las Heras,general las heras,,PARADA_FERROVIARIA,FERROCARRIL,FERROVIARIO,,stop,,stop_position,,,,,,,"5015840338,5015840339",2,1,0,0,0,0,0,1.0
node,5015840359,node/5015840359,Marcos Paz (Sarmiento),marcos paz (sarmiento),Trenes Argentinos,ESTACION_FERROVIARIA,FERROCARRIL,FERROVIARIO,,station,,station,Sarmiento,,Trenes Argentinos,,Q5652101,,5015840359,1,1,0,0,0,0,0,1.0
node,5017418602,node/5017418602,Ruta 3 y Moreno,ruta 3 y moreno,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5017418601,5017418602",2,0,0,0,0,0,0,0.0
node,5017418603,node/5017418603,Avenida San Martín,avenida san martin,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5017418603,5017418604",2,0,0,0,0,0,0,0.0
node,5031477497,node/5031477497,Ángel Roffo,angel roffo,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"414748671,414748672,5031477496,5031477497,5031477498,5031477499",6,0,0,0,0,0,0,0.0
node,5035860121,node/5035860121,Salta y de la Serna,salta y de la serna,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5035860121,5046932252",2,0,0,0,0,0,0,0.0
way,515723319,way/515723319,Donato Álvarez,donato alvarez,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5035956101,5035956102,515723319",3,0,0,0,0,0,0,0.0
node,5035956113,node/5035956113,Avenida Juan B. Justo,avenida juan b. justo,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5035956111,5035956112,5035956113,5035956114,9824061761,9824061762",6,0,0,0,0,0,0,0.0
node,10996418164,node/10996418164,San Martín y Tres Arroyos,san martin y tres arroyos,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"10996418164,10996418165,10996418166,10996418167,5035956115,5035956116",6,0,0,0,0,0,0,0.0
node,10996418162,node/10996418162,San Martín y Cucha Cucha,san martin y cucha cucha,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"10996418162,10996418163,5035956117,5035956118",4,0,0,0,0,0,0,0.0
node,6465853816,node/6465853816,San Martín y Gaona,san martin y gaona,,PLATAFORMA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,platform,,,,,,,"5035956119,5035956120,5035956821,5035956822,6402576383,6465853816,6565448038",7,0,0,0,0,0,0,0.0
node,6566764010,node/6566764010,Ángel Gallardo y Virasoro,angel gallardo y virasoro,,PARADA_TRANSPORTE_PUBLICO,OTRO,OTRO,,,,stop_position,,,,,,,"5035956826,5035956827,6566764009,6566764010",4,0,0,0,0,0,0,0.0
