nodo_id,h3,instalaciones_250m,instalaciones_500m,instalaciones_1000m,intercambiadores_250m,intercambiadores_500m,intercambiadores_1000m,modos_250m,cantidad_modos_250m,ferrocarril_250m,subte_250m,autobus_250m,fluvial_250m,tranvia_250m,modos_500m,cantidad_modos_500m,ferrocarril_500m,subte_500m,autobus_500m,fluvial_500m,tranvia_500m,modos_1000m,cantidad_modos_1000m,ferrocarril_1000m,subte_1000m,autobus_1000m,fluvial_1000m,tranvia_1000m,densidad_instalaciones_250m,densidad_instalaciones_500m,densidad_instalaciones_1000m,instalaciones_500m_normalizadas,densidad_instalaciones_500m_normalizada,intercambiadores_500m_normalizados,diversidad_modal_500m_normalizada,modo_ferroviario_estructurante,modo_subterraneo_estructurante,modo_fluvial_estructurante,conectividad_modal_500m,soporte_fisico_preliminar,categoria_soporte_fisico,ranking_soporte_fisico,tipo_intermodalidad,score_intermodalidad,score_demanda,score_densidad,score_conectividad,score_alcance,score_integracion,ranking_centralidad,ranking_operaciones_validacion,ranking_centralidad_validacion,diferencia_ranking_abs,score_intermodalidad_500m,categoria_intermodalidad_500m,ranking_intermodalidad
19,3,40,43,74,1,1,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,203.71832715762605,54.749300423612,23.55493157760051,0.011105371900826446,0.47285969214745543,0.12590471182995822,0.4,1,0,0,0.3177714135489874,29.86,SOPORTE_FISICO_BAJO,68,INTERMODAL,100.0,86.80555555555556,72.91666666666666,69.44444444444444,46.18055555555556,50.34722222222222,11,20,11,9,70.0,INTERMODALIDAD_MEDIA,16
7,2,62,76,118,2,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,315.76340709432037,96.76620539987236,37.5605665696873,0.01962809917355372,0.5389181072043098,0.19955424691458712,0.4,1,0,0,0.3398662740743761,34.15,SOPORTE_FISICO_BAJO,42,MONOMODAL,50.0,98.61111111111111,98.61111111111111,69.44444444444444,46.18055555555556,50.34722222222222,12,3,12,9,70.0,INTERMODALIDAD_MEDIA,16
2,1,79,120,174,2,4,7,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,402.34369613631145,152.78874536821954,55.38592019597958,0.030991735537190084,0.5921916882107421,0.2923416876766772,0.4,1,0,0,0.3677025063030031,38.5,SOPORTE_FISICO_BAJO,19,MONOMODAL,50.0,97.22222222222221,100.0,69.44444444444444,46.18055555555556,50.34722222222222,13,5,13,8,70.0,INTERMODALIDAD_MEDIA,16
39,2,12,13,33,0,0,1,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,61.11549814728781,16.552114081557114,10.504226244065093,0.0033574380165289257,0.3369487741528316,0.0,0.2,0,0,0,0.13999999999999999,16.84,SOPORTE_FISICO_MUY_BAJO,123,MONOMODAL,50.0,78.47222222222221,65.97222222222221,95.83333333333334,95.48611111111111,50.34722222222222,14,32,14,18,40.0,INTERMODALIDAD_BAJA,115
4,1,72,85,125,1,1,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,366.69298888372685,108.22536130248884,39.78873577297384,0.021952479338842975,0.5519523874234499,0.12590471182995822,0.4,1,0,0,0.3177714135489874,32.8,SOPORTE_FISICO_BAJO,50,MONOMODAL,50.0,94.44444444444444,99.30555555555556,69.44444444444444,46.18055555555556,50.34722222222222,15,9,15,6,70.0,INTERMODALIDAD_MEDIA,16
9,1,52,79,168,3,5,11,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|TRANVIA,3,1,0,1,0,1,264.83382530491383,100.58592403407786,53.47606087887684,0.020402892561983473,0.5434253034113294,0.3254589587445453,0.4,1,0,0,0.3776376876233636,37.46,SOPORTE_FISICO_BAJO,23,MONOMODAL,50.0,88.88888888888889,97.91666666666666,69.44444444444444,46.18055555555556,50.34722222222222,16,17,16,1,70.0,INTERMODALIDAD_MEDIA,16
12,2,52,57,64,0,2,2,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,264.83382530491383,72.57465404990428,20.371832715762604,0.014721074380165289,0.5054865469479658,0.19955424691458712,0.4,1,0,0,0.3398662740743761,32.9,SOPORTE_FISICO_BAJO,48,MONOMODAL,50.0,90.27777777777779,94.44444444444444,69.44444444444444,46.18055555555556,50.34722222222222,17,15,17,2,70.0,INTERMODALIDAD_MEDIA,16
63,3,220,281,302,1,2,5,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,1120.450799366943,357.78031207058075,96.12958562750478,0.07257231404958678,0.6918154816838336,0.19955424691458712,0.6,1,0,1,0.4798662740743761,45.29,SOPORTE_FISICO_MEDIO,5,INTERMODAL,100.0,81.94444444444444,55.55555555555556,69.44444444444444,46.18055555555556,50.34722222222222,18,27,18,9,85.0,INTERMODALIDAD_MUY_ALTA,3
54,3,91,141,277,6,9,18,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,463.45919428359923,179.52677580765794,88.17183847291003,0.036415289256198344,0.611043116456841,0.41824639950663545,0.4,1,0,0,0.4054739198519906,42.39,SOPORTE_FISICO_MEDIO,12,INTERMODAL,100.0,81.25,54.861111111111114,69.44444444444444,46.18055555555556,50.34722222222222,19,28,19,9,70.0,INTERMODALIDAD_MEDIA,16
72,3,97,179,351,2,4,15,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|TRANVIA,3,1,0,1,0,1,494.0169433572431,227.90987850759413,111.72677005051052,0.046229338842975205,0.6389675043971355,0.2923416876766772,0.4,1,0,0,0.3677025063030031,40.37,SOPORTE_FISICO_MEDIO,16,MONOMODAL,50.0,73.61111111111111,46.52777777777778,95.83333333333334,99.30555555555556,50.34722222222222,20,39,20,19,70.0,INTERMODALIDAD_MEDIA,16
10,2,16,19,27,2,2,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,81.48733086305042,24.19155134996809,8.594366926962348,0.00490702479338843,0.3794422222409767,0.19955424691458712,0.4,1,0,0,0.3398662740743761,28.34,SOPORTE_FISICO_BAJO,77,INTERMODAL,100.0,89.58333333333334,95.13888888888889,23.26388888888889,46.18055555555556,50.34722222222222,21,16,21,5,70.0,INTERMODALIDAD_MEDIA,16
16,4,78,93,139,3,4,9,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,397.25073795737075,118.41127766037013,44.245074179546904,0.024018595041322314,0.5624377792314506,0.2923416876766772,0.4,1,0,0,0.3677025063030031,37.35,SOPORTE_FISICO_BAJO,25,MONOMODAL,50.0,92.36111111111111,76.38888888888889,69.44444444444444,46.18055555555556,50.34722222222222,22,12,22,10,70.0,INTERMODALIDAD_MEDIA,16
22,3,128,185,293,4,10,18,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,651.8986469044033,235.5493157760051,93.26479665185067,0.04777892561983471,0.6428281645235828,0.43555874103997483,0.4,1,0,0,0.4106676223119924,44.1,SOPORTE_FISICO_MEDIO,9,MONOMODAL,50.0,88.19444444444444,77.08333333333334,69.44444444444444,46.18055555555556,50.34722222222222,23,18,23,5,70.0,INTERMODALIDAD_MEDIA,16
41,2,18,26,39,2,3,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,91.67324722093171,33.10422816311423,12.414085561167836,0.006714876033057851,0.41506520603744346,0.25180942365991643,0.4,1,0,0,0.3555428270979749,30.92,SOPORTE_FISICO_BAJO,61,INTERMODAL,100.0,71.52777777777779,59.02777777777778,69.44444444444444,46.18055555555556,50.34722222222222,24,42,24,18,70.0,INTERMODALIDAD_MEDIA,16
32,2,54,107,209,2,7,12,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|TRANVIA,3,1,0,1,0,1,AUTOBUS|FERROCARRIL|FLUVIAL|TRANVIA,4,1,0,1,1,1,275.0197416627951,136.2366312866624,66.52676621241226,0.02763429752066116,0.578800029727839,0.3777141354898746,0.6,1,0,0,0.5333142406469623,45.12,SOPORTE_FISICO_MEDIO,6,MONOMODAL,50.0,76.38888888888889,63.888888888888886,69.44444444444444,95.48611111111111,50.34722222222222,25,35,25,10,85.0,INTERMODALIDAD_MUY_ALTA,3
20,2,2,3,7,0,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,10.185916357881302,3.819718634205488,2.228169203286535,0.0007747933884297521,0.18495368961100384,0.0,0.4,1,0,0,0.27999999999999997,16.49,SOPORTE_FISICO_MUY_BAJO,126,INTERMODAL,100.0,86.11111111111111,87.5,23.26388888888889,46.18055555555556,50.34722222222222,26,21,26,5,58.0,INTERMODALIDAD_MEDIA,114
49,5,114,166,269,6,6,11,AUTOBUS|FERROCARRIL|TRANVIA,3,1,0,1,0,1,AUTOBUS|FERROCARRIL|TRANVIA,3,1,0,1,0,1,AUTOBUS|FERROCARRIL|TRANVIA,3,1,0,1,0,1,580.5972323992343,211.35776442603702,85.6253593834397,0.042871900826446284,0.630140811547512,0.3534592124660774,0.6,1,0,0,0.5260377637398232,46.53,SOPORTE_FISICO_MEDIO,4,MONOMODAL,50.0,90.97222222222221,65.27777777777779,69.44444444444444,46.18055555555556,50.34722222222222,27,14,27,13,85.0,INTERMODALIDAD_MUY_ALTA,3
15,2,5,6,6,2,2,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,25.464790894703256,7.639437268410976,1.909859317102744,0.0015495867768595042,0.25358849344279244,0.19955424691458712,0.4,1,0,0,0.3398662740743761,23.89,SOPORTE_FISICO_BAJO,100,INTERMODAL,100.0,85.41666666666666,86.11111111111111,23.26388888888889,46.18055555555556,50.34722222222222,28,22,28,6,66.0,INTERMODALIDAD_MEDIA,102
25,1,11,14,27,1,1,5,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,56.02253996834716,17.82535362629228,8.594366926962348,0.003615702479338843,0.34518442464383275,0.12590471182995822,0.4,1,0,0,0.3177714135489874,25.28,SOPORTE_FISICO_BAJO,95,MONOMODAL,50.0,75.0,90.97222222222221,69.44444444444444,46.18055555555556,50.34722222222222,29,37,29,8,70.0,INTERMODALIDAD_MEDIA,16
30,3,38,40,42,1,1,1,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,193.53241079974472,50.92958178940651,13.36901521971921,0.010330578512396695,0.4645127786483475,0.12590471182995822,0.4,1,0,0,0.3177714135489874,29.56,SOPORTE_FISICO_BAJO,71,MONOMODAL,50.0,84.72222222222221,68.05555555555556,69.44444444444444,46.18055555555556,50.34722222222222,30,23,30,7,70.0,INTERMODALIDAD_MEDIA,16
46,2,34,54,100,2,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,173.16057808398213,68.75493541569878,31.830988618379067,0.013946280991735538,0.49921692756703323,0.19955424691458712,0.4,1,0,0,0.3398662740743761,32.67,SOPORTE_FISICO_BAJO,51,MONOMODAL,50.0,82.63888888888889,71.52777777777779,69.44444444444444,46.18055555555556,50.34722222222222,31,26,31,5,70.0,INTERMODALIDAD_MEDIA,16
18,2,28,38,65,0,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,142.60282901033824,48.38310269993618,20.690142601946395,0.00981404958677686,0.45859974178108265,0.0,0.2,0,0,0,0.13999999999999999,21.2,SOPORTE_FISICO_BAJO,108,INTERMODAL,100.0,83.33333333333334,77.77777777777779,23.26388888888889,46.18055555555556,50.34722222222222,32,25,32,7,40.0,INTERMODALIDAD_BAJA,115
31,1,7,9,18,0,1,1,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,35.65070725258456,11.459155902616464,5.729577951308232,0.0023243801652892563,0.29664455240180393,0.12590471182995822,0.4,1,0,0,0.3177714135489874,23.57,SOPORTE_FISICO_BAJO,101,MONOMODAL,50.0,69.44444444444444,84.72222222222221,69.44444444444444,46.18055555555556,50.34722222222222,33,45,33,12,69.0,INTERMODALIDAD_MEDIA,97
26,3,53,79,124,3,4,6,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,269.9267834838545,100.58592403407786,39.470425886790046,0.020402892561983473,0.5434253034113294,0.2923416876766772,0.4,1,0,0,0.3677025063030031,36.63,SOPORTE_FISICO_BAJO,27,INTERMODAL,100.0,84.02777777777779,61.80555555555556,23.26388888888889,46.18055555555556,50.34722222222222,34,24,34,10,70.0,INTERMODALIDAD_MEDIA,16
42,2,29,42,64,1,1,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,147.6957871892789,53.47606087887684,20.371832715762604,0.01084710743801653,0.47014268538970894,0.12590471182995822,0.4,1,0,0,0.3177714135489874,29.77,SOPORTE_FISICO_BAJO,69,INTERMODAL,100.0,79.86111111111111,69.44444444444444,23.26388888888889,46.18055555555556,50.34722222222222,35,30,35,5,70.0,INTERMODALIDAD_MEDIA,16
34,1,10,19,41,0,1,5,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,50.92958178940651,24.19155134996809,13.050705333535419,0.00490702479338843,0.3794422222409767,0.12590471182995822,0.4,1,0,0,0.3177714135489874,26.5,SOPORTE_FISICO_BAJO,86,MONOMODAL,50.0,66.66666666666666,83.33333333333334,69.44444444444444,46.18055555555556,50.34722222222222,36,49,36,13,70.0,INTERMODALIDAD_MEDIA,16
55,2,69,117,251,2,5,8,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,351.4141143469049,148.96902673401405,79.89578143213146,0.03021694214876033,0.5892338822407044,0.3254589587445453,0.4,1,0,0,0.3776376876233636,39.21,SOPORTE_FISICO_BAJO,17,MONOMODAL,50.0,64.58333333333334,51.388888888888886,95.83333333333334,46.18055555555556,50.34722222222222,37,52,37,15,70.0,INTERMODALIDAD_MEDIA,16
65,2,22,30,58,0,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,112.04507993669432,38.197186342054884,18.46197339865986,0.007747933884297521,0.4314334042643508,0.0,0.2,0,0,0,0.13999999999999999,20.22,SOPORTE_FISICO_BAJO,110,MONOMODAL,50.0,60.416666666666664,50.0,69.44444444444444,95.48611111111111,50.34722222222222,38,58,38,20,40.0,INTERMODALIDAD_BAJA,115
77,2,22,34,59,3,5,9,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,112.04507993669432,43.29014452099553,18.78028328484365,0.00878099173553719,0.4457992744134685,0.3254589587445453,0.4,1,0,0,0.3776376876233636,33.87,SOPORTE_FISICO_BAJO,44,INTERMODAL,100.0,54.166666666666664,43.75,69.44444444444444,46.18055555555556,50.34722222222222,39,67,39,28,70.0,INTERMODALIDAD_MEDIA,16
67,3,74,118,211,6,11,17,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,376.87890524160815,150.2422662787492,67.16338598477984,0.030475206611570247,0.5902281063005388,0.45136367057450355,0.4,1,0,0,0.415409101172351,42.4,SOPORTE_FISICO_MEDIO,11,INTERMODAL,100.0,80.55555555555556,50.69444444444444,23.26388888888889,46.18055555555556,50.34722222222222,40,29,40,11,70.0,INTERMODALIDAD_MEDIA,16
50,2,27,35,47,0,0,3,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,137.50987083139756,44.563384065730695,14.960564650638162,0.009039256198347107,0.44913236307384297,0.0,0.2,0,0,0,0.13999999999999999,20.86,SOPORTE_FISICO_BAJO,109,MONOMODAL,50.0,70.83333333333334,56.94444444444444,69.44444444444444,46.18055555555556,50.34722222222222,41,43,41,2,40.0,INTERMODALIDAD_BAJA,115
47,2,7,8,22,1,1,1,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,35.65070725258456,10.185916357881302,7.002817496043395,0.002066115702479339,0.28396708285127487,0.12590471182995822,0.4,1,0,0,0.3177714135489874,23.12,SOPORTE_FISICO_BAJO,103,INTERMODAL,100.0,74.30555555555556,61.111111111111114,23.26388888888889,46.18055555555556,50.34722222222222,42,38,42,4,68.0,INTERMODALIDAD_MEDIA,99
21,1,13,20,35,0,2,3,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,66.20845632622846,25.464790894703256,11.140846016432674,0.005165289256198347,0.3852407435141075,0.19955424691458712,0.4,1,0,0,0.3398662740743761,28.55,SOPORTE_FISICO_BAJO,76,MONOMODAL,50.0,79.16666666666666,93.75,23.26388888888889,46.18055555555556,50.34722222222222,43,31,43,12,70.0,INTERMODALIDAD_MEDIA,16
23,1,6,9,15,0,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,30.557749073643905,11.459155902616464,4.7746482927568605,0.0023243801652892563,0.29664455240180393,0.0,0.2,0,0,0,0.13999999999999999,15.42,SOPORTE_FISICO_MUY_BAJO,129,MONOMODAL,50.0,77.77777777777779,93.05555555555556,23.26388888888889,46.18055555555556,50.34722222222222,44,33,44,11,39.0,INTERMODALIDAD_BAJA,129
98,3,34,60,126,1,4,7,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,173.16057808398213,76.39437268410977,40.10704565915763,0.015495867768595042,0.5114387677034817,0.2923416876766772,0.4,1,0,0,0.3677025063030031,35.44,SOPORTE_FISICO_BAJO,34,MONOMODAL,50.0,61.80555555555556,27.083333333333332,69.44444444444444,95.48611111111111,50.34722222222222,45,56,45,11,70.0,INTERMODALIDAD_MEDIA,16
24,1,15,17,25,1,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,76.39437268410977,21.645072260497766,7.957747154594767,0.004390495867768595,0.36690985424200945,0.19955424691458712,0.4,1,0,0,0.3398662740743761,27.9,SOPORTE_FISICO_BAJO,79,MONOMODAL,50.0,75.69444444444444,91.66666666666666,23.26388888888889,46.18055555555556,50.34722222222222,46,36,46,10,70.0,INTERMODALIDAD_MEDIA,16
