id_h3,operaciones_totales,ranking_perfil,percentil_demanda,categoria_demanda,hora_pico,operaciones_hora_pico,pct_hora_pico,franja_dominante,perfil_temporal,modo_dominante,pct_modo_dominante,cantidad_modos,indice_dominancia_modal,perfil_nodo,prioridad_analitica
88c2e381d5fffff,27063,58,99.15991156963891,HOTSPOT_EXTREMO,17,2587,9.559176735764698,MEDIODIA,DIURNO,TREN,55.83268669401027,2,0.5583268669401027,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e38e93fffff,27032,59,99.1451731761238,HOTSPOT_EXTREMO,7,2243,8.29757324652264,MEDIODIA,DIURNO,TREN,67.63095590411365,2,0.6763095590411364,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e388adfffff,26545,60,99.1304347826087,HOTSPOT_EXTREMO,18,2431,9.15803352797137,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31057fffff,26230,61,99.11569638909359,HOTSPOT_EXTREMO,17,2613,9.961875714830347,MEDIODIA,DIURNO,COLECTIVO,80.50705299275639,2,0.8050705299275639,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3d4ebfffff,25945,62,99.10095799557848,HOTSPOT_EXTREMO,17,2469,9.516284447870495,MEDIODIA,DIURNO,COLECTIVO,59.70321834650222,2,0.5970321834650222,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e30211fffff,25796,63,99.08621960206338,HOTSPOT_EXTREMO,16,2176,8.435416343619167,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e311c5fffff,25311,64,99.07148120854828,HOTSPOT_EXTREMO,17,2570,10.153688119789814,MEDIODIA,DIURNO,COLECTIVO,59.51562561732053,2,0.5951562561732053,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e3ab59fffff,25295,65,99.05674281503316,HOTSPOT_EXTREMO,6,2322,9.179679778612373,TARDE,VESPERTINO,TREN,69.87942281083218,2,0.6987942281083218,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e311a9fffff,25169,66,99.04200442151806,HOTSPOT_EXTREMO,16,2319,9.213715284675592,MEDIODIA,DIURNO,COLECTIVO,77.7384878223211,2,0.777384878223211,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e311c1fffff,24339,67,99.02726602800294,HOTSPOT_EXTREMO,17,1988,8.16796088582111,MEDIODIA,DIURNO,COLECTIVO,66.83512058835613,2,0.6683512058835613,HOTSPOT_EXTREMO_DIURNO,PRIORIDAD_MUY_ALTA
88c2e31ad9fffff,24338,68,99.01252763448784,HOTSPOT_EXTREMO,18,2603,10.69520913797354,TARDE,VESPERTINO,COLECTIVO,100.0,1,1.0,HOTSPOT_EXTREMO_VESPERTINO,PRIORIDAD_MUY_ALTA
88c2e31315fffff,23936,69,98.99778924097274,HOTSPOT_ALTO,7,2522,10.536430481283423,MANANA,MATUTINO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_MATUTINO,PRIORIDAD_ALTA
