id,id_h3,hora,modo,cantidad_trx
250,88c2e3102bfffff,0,COLECTIVO,37
251,88c2e3102dfffff,0,COLECTIVO,68
252,88c2e31031fffff,0,COLECTIVO,67
253,88c2e31033fffff,0,COLECTIVO,51
254,88c2e31035fffff,0,COLECTIVO,15
255,88c2e31037fffff,0,COLECTIVO,73
256,88c2e31039fffff,0,COLECTIVO,27
257,88c2e3103bfffff,0,COLECTIVO,45
258,88c2e3103dfffff,0,COLECTIVO,81
259,88c2e31041fffff,0,COLECTIVO,13
260,88c2e31043fffff,0,COLECTIVO,21
261,88c2e31045fffff,0,COLECTIVO,5
262,88c2e31047fffff,0,COLECTIVO,9
263,88c2e31049fffff,0,COLECTIVO,4
264,88c2e3104bfffff,0,COLECTIVO,12
265,88c2e31051fffff,0,COLECTIVO,45
266,88c2e31053fffff,0,COLECTIVO,45
267,88c2e31055fffff,0,COLECTIVO,17
268,88c2e31057fffff,0,COLECTIVO,120
269,88c2e31059fffff,0,COLECTIVO,8
270,88c2e3105bfffff,0,COLECTIVO,88
271,88c2e3105dfffff,0,COLECTIVO,7
272,88c2e31061fffff,0,COLECTIVO,26
273,88c2e31063fffff,0,COLECTIVO,12
274,88c2e31065fffff,0,COLECTIVO,49
275,88c2e31067fffff,0,COLECTIVO,11
276,88c2e31069fffff,0,COLECTIVO,1
277,88c2e3106bfffff,0,COLECTIVO,5
278,88c2e3106dfffff,0,COLECTIVO,6
279,88c2e31081fffff,0,COLECTIVO,6
280,88c2e31083fffff,0,COLECTIVO,2
281,88c2e31085fffff,0,COLECTIVO,12
282,88c2e31087fffff,0,COLECTIVO,53
283,88c2e31089fffff,0,COLECTIVO,3
284,88c2e3108bfffff,0,COLECTIVO,7
285,88c2e3108dfffff,0,COLECTIVO,2
286,88c2e31091fffff,0,COLECTIVO,11
287,88c2e31093fffff,0,COLECTIVO,1
288,88c2e31095fffff,0,COLECTIVO,69
289,88c2e31097fffff,0,COLECTIVO,18
290,88c2e31099fffff,0,COLECTIVO,2
291,88c2e3109bfffff,0,COLECTIVO,22
292,88c2e3109dfffff,0,COLECTIVO,6
293,88c2e310a1fffff,0,COLECTIVO,37
294,88c2e310a3fffff,0,COLECTIVO,19
295,88c2e310a5fffff,0,COLECTIVO,106
296,88c2e310a7fffff,0,COLECTIVO,14
297,88c2e310a9fffff,0,COLECTIVO,16
298,88c2e310abfffff,0,COLECTIVO,18
299,88c2e310adfffff,0,COLECTIVO,259
300,88c2e310b1fffff,0,COLECTIVO,14
301,88c2e310b3fffff,0,COLECTIVO,6
302,88c2e310b5fffff,0,COLECTIVO,7
303,88c2e310b7fffff,0,COLECTIVO,8
304,88c2e310b9fffff,0,COLECTIVO,74
305,88c2e310bbfffff,0,COLECTIVO,6
306,88c2e310bdfffff,0,COLECTIVO,13
307,88c2e310c1fffff,0,COLECTIVO,4
308,88c2e310c3fffff,0,COLECTIVO,13
309,88c2e310c5fffff,0,COLECTIVO,33
310,88c2e310c7fffff,0,COLECTIVO,7
311,88c2e310c9fffff,0,COLECTIVO,24
312,88c2e310cbfffff,0,COLECTIVO,12
313,88c2e310cdfffff,0,COLECTIVO,8
314,88c2e310d1fffff,0,COLECTIVO,9
315,88c2e310d3fffff,0,COLECTIVO,6
316,88c2e310d5fffff,0,COLECTIVO,3
317,88c2e310d7fffff,0,COLECTIVO,9
318,88c2e310d9fffff,0,COLECTIVO,56
319,88c2e310dbfffff,0,COLECTIVO,18
320,88c2e310ddfffff,0,COLECTIVO,70
321,88c2e310e5fffff,0,COLECTIVO,39
322,88c2e310e9fffff,0,COLECTIVO,97
323,88c2e310ebfffff,0,COLECTIVO,4
324,88c2e310edfffff,0,COLECTIVO,54
325,88c2e31101fffff,0,COLECTIVO,405
326,88c2e31103fffff,0,COLECTIVO,58
327,88c2e31105fffff,0,COLECTIVO,89
328,88c2e31109fffff,0,COLECTIVO,16
329,88c2e3110bfffff,0,COLECTIVO,152
330,88c2e3110dfffff,0,COLECTIVO,42
331,88c2e31111fffff,0,COLECTIVO,27
332,88c2e31113fffff,0,COLECTIVO,214
333,88c2e31115fffff,0,COLECTIVO,82
334,88c2e31117fffff,0,COLECTIVO,107
335,88c2e31119fffff,0,COLECTIVO,25
336,88c2e3111bfffff,0,COLECTIVO,27
337,88c2e3111dfffff,0,COLECTIVO,56
338,88c2e31121fffff,0,COLECTIVO,1
339,88c2e31123fffff,0,COLECTIVO,34
340,88c2e31129fffff,0,COLECTIVO,18
341,88c2e3112bfffff,0,COLECTIVO,56
342,88c2e31131fffff,0,COLECTIVO,205
343,88c2e31133fffff,0,COLECTIVO,315
344,88c2e31135fffff,0,COLECTIVO,157
345,88c2e31137fffff,0,COLECTIVO,31
346,88c2e31139fffff,0,COLECTIVO,143
347,88c2e3113bfffff,0,COLECTIVO,127
348,88c2e3113dfffff,0,COLECTIVO,127
349,88c2e31141fffff,0,COLECTIVO,7
350,88c2e31145fffff,0,COLECTIVO,15
351,88c2e31147fffff,0,COLECTIVO,34
352,88c2e31149fffff,0,COLECTIVO,2
353,88c2e3114bfffff,0,COLECTIVO,10
354,88c2e3114dfffff,0,COLECTIVO,29
355,88c2e31151fffff,0,COLECTIVO,11
356,88c2e31153fffff,0,COLECTIVO,6
357,88c2e31155fffff,0,COLECTIVO,34
358,88c2e31157fffff,0,COLECTIVO,24
359,88c2e31159fffff,0,COLECTIVO,41
360,88c2e3115bfffff,0,COLECTIVO,12
361,88c2e3115dfffff,0,COLECTIVO,10
362,88c2e31161fffff,0,COLECTIVO,26
363,88c2e31163fffff,0,COLECTIVO,7
364,88c2e31167fffff,0,COLECTIVO,14
365,88c2e3116bfffff,0,COLECTIVO,27
366,88c2e31181fffff,0,COLECTIVO,241
367,88c2e31183fffff,0,COLECTIVO,403
368,88c2e31185fffff,0,COLECTIVO,167
369,88c2e31187fffff,0,COLECTIVO,178
