ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
29,AMBA-P053,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
30,AMBA-P063,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
31,AMBA-P082,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
32,AMBA-P103,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
33,AMBA-P105,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
34,AMBA-P106,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
35,AMBA-P109,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
36,AMBA-P122,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
37,AMBA-P127,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
38,AMBA-P132,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
39,AMBA-P134,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
