proyecto_id,escenario_id,geometria_valida,geometria_nula,geometria_vacia,geometria_invalida,escenario_proyectos,proyecto_multiescenario
AMBA-P059,AMBA-E001,True,False,False,False,20,False
AMBA-P060,AMBA-E002,True,False,False,False,21,False
AMBA-P061,AMBA-E002,True,False,False,False,21,False
AMBA-P062,AMBA-E005,True,False,False,False,21,False
AMBA-P063,AMBA-E003,True,False,False,False,20,False
AMBA-P064,AMBA-E007,True,False,False,False,21,False
AMBA-P065,AMBA-E002,True,False,False,False,21,False
AMBA-P066,AMBA-E005,True,False,False,False,21,False
AMBA-P067,AMBA-E005,True,False,False,False,21,False
AMBA-P068,AMBA-E005,True,False,False,False,21,False
AMBA-P069,AMBA-E004,True,False,False,False,21,False
AMBA-P070,AMBA-E006,True,False,False,False,20,False
AMBA-P071,AMBA-E002,True,False,False,False,21,False
AMBA-P072,AMBA-E002,True,False,False,False,21,False
AMBA-P073,AMBA-E005,True,False,False,False,21,False
AMBA-P074,AMBA-E006,True,False,False,False,20,False
AMBA-P075,AMBA-E007,True,False,False,False,21,False
AMBA-P076,AMBA-E004,True,False,False,False,21,False
AMBA-P077,AMBA-E001,True,False,False,False,20,False
AMBA-P078,AMBA-E002,True,False,False,False,21,False
AMBA-P079,AMBA-E006,True,False,False,False,20,False
AMBA-P080,AMBA-E006,True,False,False,False,20,False
AMBA-P081,AMBA-E005,True,False,False,False,21,False
AMBA-P082,AMBA-E003,True,False,False,False,20,False
AMBA-P083,AMBA-E007,True,False,False,False,21,False
AMBA-P084,AMBA-E004,True,False,False,False,21,False
AMBA-P085,AMBA-E002,True,False,False,False,21,False
AMBA-P086,AMBA-E005,True,False,False,False,21,False
AMBA-P087,AMBA-E005,True,False,False,False,21,False
AMBA-P088,AMBA-E006,True,False,False,False,20,False
AMBA-P089,AMBA-E004,True,False,False,False,21,False
AMBA-P090,AMBA-E001,True,False,False,False,20,False
AMBA-P091,AMBA-E006,True,False,False,False,20,False
AMBA-P092,AMBA-E002,True,False,False,False,21,False
AMBA-P093,AMBA-E004,True,False,False,False,21,False
AMBA-P094,AMBA-E007,True,False,False,False,21,False
AMBA-P095,AMBA-E007,True,False,False,False,21,False
AMBA-P096,AMBA-E007,True,False,False,False,21,False
AMBA-P097,AMBA-E001,True,False,False,False,20,False
AMBA-P098,AMBA-E004,True,False,False,False,21,False
AMBA-P099,AMBA-E004,True,False,False,False,21,False
AMBA-P100,AMBA-E004,True,False,False,False,21,False
AMBA-P101,AMBA-E002,True,False,False,False,21,False
AMBA-P102,AMBA-E004,True,False,False,False,21,False
AMBA-P103,AMBA-E003,True,False,False,False,20,False
AMBA-P104,AMBA-E007,True,False,False,False,21,False
AMBA-P105,AMBA-E003,True,False,False,False,20,False
AMBA-P106,AMBA-E003,True,False,False,False,20,False
AMBA-P107,AMBA-E006,True,False,False,False,20,False
AMBA-P108,AMBA-E007,True,False,False,False,21,False
AMBA-P109,AMBA-E003,True,False,False,False,20,False
AMBA-P110,AMBA-E005,True,False,False,False,21,False
AMBA-P111,AMBA-E006,True,False,False,False,20,False
AMBA-P112,AMBA-E002,True,False,False,False,21,False
AMBA-P113,AMBA-E007,True,False,False,False,21,False
AMBA-P114,AMBA-E004,True,False,False,False,21,False
AMBA-P115,AMBA-E007,True,False,False,False,21,False
AMBA-P116,AMBA-E001,True,False,False,False,20,False
AMBA-P117,AMBA-E007,True,False,False,False,21,False
AMBA-P118,AMBA-E005,True,False,False,False,21,False
AMBA-P119,AMBA-E005,True,False,False,False,21,False
AMBA-P120,AMBA-E006,True,False,False,False,20,False
AMBA-P121,AMBA-E007,True,False,False,False,21,False
AMBA-P122,AMBA-E003,True,False,False,False,20,False
AMBA-P123,AMBA-E002,True,False,False,False,21,False
AMBA-P124,AMBA-E007,True,False,False,False,21,False
AMBA-P125,AMBA-E002,True,False,False,False,21,False
AMBA-P126,AMBA-E007,True,False,False,False,21,False
AMBA-P127,AMBA-E003,True,False,False,False,20,False
AMBA-P128,AMBA-E006,True,False,False,False,20,False
AMBA-P129,AMBA-E007,True,False,False,False,21,False
AMBA-P130,AMBA-E006,True,False,False,False,20,False
AMBA-P131,AMBA-E004,True,False,False,False,21,False
AMBA-P132,AMBA-E003,True,False,False,False,20,False
AMBA-P133,AMBA-E002,True,False,False,False,21,False
AMBA-P134,AMBA-E003,True,False,False,False,20,False
AMBA-P135,AMBA-E005,True,False,False,False,21,False
AMBA-P136,AMBA-E007,True,False,False,False,21,False
AMBA-P137,AMBA-E007,True,False,False,False,21,False
AMBA-P138,AMBA-E005,True,False,False,False,21,False
AMBA-P139,AMBA-E002,True,False,False,False,21,False
AMBA-P140,AMBA-E004,True,False,False,False,21,False
AMBA-P141,AMBA-E002,True,False,False,False,21,False
AMBA-P142,AMBA-E001,True,False,False,False,20,False
AMBA-P143,AMBA-E001,True,False,False,False,20,False
AMBA-P144,AMBA-E003,True,False,False,False,20,False
