id_h3,provincia,jurisdiccion,operaciones_totales,categoria_demanda,hora_pico,modo_dominante,metodo_asignacion,distancia_asignacion_m
88c2eecca5fffff,Buenos Aires,Zárate,130,DEMANDA_MEDIA,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38cdbfffff,Buenos Aires,Morón,130,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e1432bfffff,Buenos Aires,General Las Heras,130,DEMANDA_MEDIA,15,COLECTIVO,REPRESENTATIVE_POINT,
88c2eec15bfffff,Buenos Aires,Exaltación de la Cruz,130,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2eedabbfffff,Buenos Aires,Exaltación de la Cruz,130,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e06ebbfffff,Buenos Aires,Presidente Perón,129,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e30685fffff,Buenos Aires,Tigre,129,DEMANDA_MEDIA,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e31307fffff,Buenos Aires,Avellaneda,129,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2eeda87fffff,Buenos Aires,Exaltación de la Cruz,128,DEMANDA_MEDIA,14,COLECTIVO,REPRESENTATIVE_POINT,
88c2e0633dfffff,Buenos Aires,Brandsen,128,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3bad3fffff,Buenos Aires,Moreno,128,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2eeda61fffff,Buenos Aires,Pilar,128,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d6e9fffff,Buenos Aires,Almirante Brown,128,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d001fffff,Buenos Aires,Berazategui,127,DEMANDA_MEDIA,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e316d1fffff,Buenos Aires,San Miguel,127,DEMANDA_MEDIA,11,COLECTIVO,REPRESENTATIVE_POINT,
88c2e339c3fffff,Buenos Aires,San Fernando,127,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e39125fffff,Buenos Aires,Esteban Echeverría,126,DEMANDA_MEDIA,15,COLECTIVO,REPRESENTATIVE_POINT,
